#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,eFG%,TS%
20,Giannis Antetokounmpo,66,36.2,26,9.8,18.2,53.6,0.8,3,27,5.6,9.2,61.2,2.4,9.4,11.8,5,1.1,1.4,3,55.8,58.3
21,Hakeem Olajuwon,145,39.6,25.9,10.4,19.6,52.8,0,0.1,22.2,5.1,7.1,71.9,3.2,7.9,11.2,3.2,1.7,3.3,2.9,52.9,56.9
22,Damian Lillard,61,40.3,25.7,8.2,19.9,41.2,3.3,8.8,36.9,6,6.8,88.7,0.7,3.8,4.5,6.2,1.2,0.3,3.1,49.4,56.1
23,Kobe Bryant,220,39.3,25.6,9.2,20.4,44.8,1.3,4,33.1,6,7.3,81.6,1,4,5.1,4.7,1.4,0.7,2.9,48,54.1
24,Bob Pettit,88,40.3,25.5,8.7,20.8,41.8,-,-,-,8,10.4,77.4,-,-,14.8,2.7,-,-,-,41.8,50.1
25,Dominique Wilkins,56,38.8,25.4,9.2,21.4,42.9,0.5,1.7,28.1,6.5,7.9,82.4,2.8,3.9,6.7,2.6,1.3,0.6,2.7,44,51
26,Dirk Nowitzki,145,40.7,25.3,8.4,18.2,46.2,1,2.8,36.5,7.4,8.3,89.2,1.5,8.5,10,2.5,1,0.9,2.3,49,57.7
27,Anthony Edwards,3,38,25,8.3,17.3,48.1,4,10,40,4.3,5.3,81.3,0.3,4.7,5,3,1,0.7,3,59.6,63.5
28,Rick Barry,74,36.8,24.8,9.7,22.8,42.6,0,0.2,25,5.3,6.1,87.5,1.4,3.8,5.6,4.6,2.2,0.8,1.5,42.7,48.6
29,Karl Malone,193,41,24.7,9,19.5,46.3,0,0.2,16.2,6.6,8.9,73.6,2.6,8.1,10.7,3.2,1.3,0.7,2.8,46.3,52.6
30,Russell Westbrook,111,37.5,24.6,8.5,20.9,40.8,1.4,4.7,29.6,6.1,7.4,82.7,1.9,5.3,7.2,7.9,1.8,0.3,4,44.1,50.8
31,Bernard King,28,33.4,24.5,9.6,17.2,55.9,0,0.1,25,5.3,7.3,72.9,1.6,2.7,4.3,2.3,0.9,0.2,2.2,56,60.2
32,Joel Embiid,37,33.3,24.5,7.8,16.7,46.7,1.2,3.7,32.1,7.6,9.5,80.2,2.1,9.2,11.4,2.9,0.9,1.7,3.7,50.2,58.4
33,Alex English,68,35.7,24.4,9.8,19.5,50.3,0,0.1,0,4.8,5.5,86.2,2.4,3,5.5,4.3,0.7,0.5,2.1,50.3,55.6
34,Kareem Abdul-Jabbar,237,37.3,24.3,9.9,18.7,53.3,0,0,0,4.4,6,74,2.6,6.5,10.5,3.2,1,2.4,2.6,53.3,57.1
35,Shaquille O'Neal,216,37.5,24.3,9.4,16.8,56.3,0,0,0,5.4,10.7,50.4,4,7.6,11.6,2.7,0.5,2.1,3,56.3,56.5
36,Jamal Murray,33,38.2,24.3,8.9,18.8,47.3,2.7,6.7,40.9,3.8,4.2,90,1.2,3.5,4.6,5.8,1,0.2,2.3,54.5,58.8
37,Paul Arizin,49,38.6,24.2,8.4,20.4,41.1,-,-,-,7.4,9,82.9,-,-,8.2,2.6,-,-,-,41.1,49.7
38,George Mikan,70,36.6,24,8,19.9,40.4,-,-,-,7.9,10.1,78.6,-,-,13.9,2.2,-,-,-,40.4,49.3
39,Larry Bird,164,42,23.8,8.9,18.8,47.2,0.5,1.5,32.1,5.5,6.2,89,2.2,8.1,10.3,6.5,1.8,0.9,3.1,48.5,55.1
40,Bradley Beal,45,39.8,23.5,8.5,19.3,44.2,2.3,6.5,34.7,4.2,5.1,82.9,1.2,3.4,4.6,3.8,1.5,0.6,2.5,50.1,54.6
41,Kyrie Irving,72,36.5,23.4,8.6,18.8,45.6,2.4,5.9,39.7,3.9,4.4,88.8,0.8,2.8,3.7,4.8,1.4,0.6,2.2,51.9,56.5
42,James Harden,140,35.5,23.2,6.9,16.2,42.7,2.5,7.4,33.4,6.9,7.9,86.6,0.8,4.7,5.5,6.1,1.7,0.5,3.4,50.4,58.9
43,Carmelo Anthony,83,37.3,23.1,8.1,19.4,41.4,1.2,3.8,32.4,5.7,6.9,82.6,1.8,4.9,6.7,2.5,1.2,0.3,2.6,44.6,51.3
44,Charles Barkley,123,39.4,23,8.2,16,51.3,0.5,2,25.5,6.1,8.5,71.7,4.1,8.7,12.9,3.9,1.6,0.9,2.9,53,58.4
45,David Thompson,27,36,22.9,9.2,20,46.2,0,0.1,33.3,4.4,6,74.5,1.6,2.7,4.3,3.7,0.9,1,3,46.3,50.8
46,Bob Love,47,43.9,22.9,9.4,21.8,43.1,-,-,-,4.1,5.3,77.6,2.4,4.3,7.5,1.9,1,0.4,-,43.1,47.5
47,Elvin Hayes,96,43.3,22.9,9.2,19.8,46.4,0,0,0,4.5,6.8,65.2,4,9,13,1.9,1.1,2.6,2.8,46.4,50.1
48,Isaiah Thomas,25,34.4,22.6,7,17.4,40.6,2.1,6.9,30.2,6.4,7.6,84.2,0.3,2.8,3.1,6.3,0.8,0.3,3.1,46.5,54.5
49,Wilt Chamberlain,160,47.2,22.5,8.9,17.1,52.2,-,-,-,4.7,10.2,46.5,-,-,24.5,4.2,-,-,-,52.2,52.4
50,Derrick Rose,51,38.4,22.4,8.5,20,42.7,1.3,4.1,32.4,3.9,4.7,84.5,1.1,3.3,4.4,6.5,1,0.5,3.3,46.1,50.7
51,Dwyane Wade,177,37.8,22.3,8.2,17.3,47.4,0.6,1.7,33.8,5.4,6.9,78,1.3,3.9,5.2,4.9,1.5,1,3.3,49,54.9
52,Oscar Robertson,86,42.7,22.2,7.8,17,46,-,-,-,6.5,7.6,85.5,0.9,2.4,6.7,8.9,0.9,0.3,-,46,54.4
53,Tracy McGrady,50,34.5,22.2,7.9,18.7,42.6,1.1,3.9,29,5.2,6.8,75.7,1.3,4.5,5.7,5,1.1,0.9,2.7,45.6,51.2
54,DeMar DeRozan,60,37.5,22.2,8,19.1,41.7,0.4,1.8,22.4,5.9,6.8,85.6,0.7,4,4.7,3.6,1.1,0.2,2.3,42.7,50.2
55,Moses Malone,94,40.4,22.1,8,16.7,47.9,0,0.1,14.3,6.1,8,76.2,5.4,8.4,13.8,1.4,0.9,1.6,2.6,47.9,54.7
56,John Havlicek,172,39.9,22,8.4,19.4,43.6,-,-,-,5.1,6.1,83.6,1.5,3.8,6.9,4.8,1.1,0.3,-,43.6,49.8
57,Julius Erving,141,37.5,21.9,8.4,17.3,48.6,0,0.3,19.4,5,6.4,77.9,2.6,4.5,7,4.2,1.7,1.7,3.2,48.8,54.4
58,John Wall,37,38.8,21.9,7.7,18.4,41.9,0.9,3.5,26.7,5.5,6.7,82.2,0.5,3.8,4.3,9.8,1.7,1.1,3.9,44.5,51.2
59,Jayson Tatum,52,37.3,21.7,7.3,16.4,44.4,1.9,5.3,35.9,5.3,6.3,83.2,0.8,5.9,6.8,3.8,1.1,0.9,2.5,50.2,56.6
60,Dillon Brooks,8,34.1,21.6,8,17,47.1,1.5,4.4,34.3,4.1,5.4,76.7,0.8,2.6,3.4,2.3,1.1,0.3,2.3,51.5,55.8
61,Marques Johnson,54,39.1,21.5,8.7,17.9,48.9,0.1,0.2,23.1,4,5.8,70.1,3.2,4.7,7.9,3.7,1,0.8,2.1,49,52.8
62,Jojo White,80,42.9,21.5,9.2,20.4,44.9,-,-,-,3.2,3.9,82.8,1,3.2,4.5,5.7,1.1,0.1,-,44.9,48.7
62,John Williamson,4,30.8,21.5,8.5,20.3,42,0.5,1.5,33.3,4,4.8,84.2,1,1,2,2.3,1,0,4.5,43.2,48.1
64,Doug Collins,32,38.1,21.5,8.8,16.8,52.6,-,-,-,3.8,5,77.4,1.6,2.5,4.1,3.5,1.1,0.1,2.3,52.6,56.7
65,Adrian Dantley,73,34.5,21.3,7.3,13.9,52.5,0,0,0,6.8,8.5,79.6,2,3.4,5.4,2.3,0.9,0.1,2.5,52.5,60.6
66,Lou Hudson,61,36,21.3,8.5,19.1,44.6,-,-,-,4.3,5.3,80.4,0.9,0.6,5.2,2.7,0.7,0,1.1,44.6,49.7
67,Paul George,108,39.1,21.3,6.9,16.2,42.4,2.4,6.8,35.1,5.2,6.3,82.5,1,6.6,7.5,4.1,1.5,0.5,3.1,49.7,56.2
68,Kawhi Leonard,135,35.5,21.2,7.5,14.8,51.1,1.7,4.2,39.9,4.4,5.3,84.4,1.8,6,7.9,2.8,1.8,0.7,1.9,56.8,62.1
69,James Worthy,143,37,21.1,8.9,16.3,54.4,0.1,0.5,20.9,3.3,4.6,72.7,1.8,3.4,5.2,3.2,1.2,0.7,2.1,54.7,57.8
70,LaMarcus Aldridge,72,37,20.8,8.1,17.8,45.5,0.2,0.7,32.7,4.3,5.2,82.4,2.5,6,8.5,1.7,0.7,1.4,1.6,46.1,51.6
71,Tom Burleson,15,38.1,20.7,8.2,15.1,54.2,-,-,-,4.3,5.7,75.6,3,7.2,10.2,1.5,0.9,1.7,-,54.2,58.7
72,Walt Frazier,93,42.5,20.7,8.2,16.1,51.1,-,-,-,4.2,5.6,75.1,1.6,6.1,7.2,6.4,2.1,0.3,-,51.1,55.7
73,Chris Paul,131,36.8,20.7,7.6,15.8,48.1,1.7,4.5,37.7,3.8,4.4,85.2,0.7,4.2,5,8.4,2,0.2,2.6,53.5,58.3
74,Caris LeVert,9,31.6,20.7,7,16.2,43.2,2.3,5.2,44.7,4.3,6,72.2,1.6,3.7,5.2,5.9,1.1,0.3,2.6,50.3,54.8
75,Reggie Miller,144,36.9,20.6,6.5,14.5,44.9,2.2,5.7,39,5.3,6,89.3,0.5,2.4,2.9,2.5,1,0.2,1.8,52.6,60.1
76,Tim Duncan,251,37.3,20.6,7.9,15.7,50.1,0,0.1,14.3,4.8,7,68.9,3.1,8.3,11.4,3,0.7,2.3,2.5,50.2,54.8
77,Clyde Drexler,145,38.4,20.4,7.4,16.6,44.7,1,3.4,28.8,4.6,5.9,78.7,2.5,4.4,6.9,6.1,1.9,0.7,2.7,47.6,53.2
78,Hal Greer,92,39.6,20.4,7.7,18,42.5,-,-,-,5.1,6.2,81.2,-,-,5.5,4.3,-,-,-,42.5,49.1
79,Cliff Hagan,90,32.9,20.4,7.8,17.2,45.4,-,-,-,4.8,6,80,-,-,8.3,3.4,-,-,-,45.4,51.5
80,Anfernee Hardaway,64,41.3,20.4,7.1,15.9,44.8,1.6,4.2,38,4.5,6.1,74.6,1.6,3.2,4.7,6.2,1.9,0.8,2.9,49.8,54.8
81,Isiah Thomas,111,38,20.4,7.4,16.8,44.1,0.7,2.1,34.6,4.8,6.2,76.9,1.2,3.5,4.7,8.9,2.1,0.3,3.3,46.3,52
82,George Yardley,46,36.8,20.3,7,16.7,42.2,-,-,-,6.2,7.6,81.7,-,-,9.9,2.4,-,-,-,42.2,50.7
83,Ben Gordon,29,37.8,20.2,6.4,15.9,40.3,2.2,5.7,38.4,5.2,6.2,84,0.8,2.4,3.2,3.2,0.8,0.1,2.5,47.2,54.3
84,Patrick Ewing,139,37.5,20.2,7.9,16.9,46.9,0.1,0.2,34.8,4.3,6,71.8,2.4,7.9,10.3,2,0.9,2.2,2.5,47.1,51.7
85,Alvin Robertson,13,37.7,20.2,7.8,15.2,51.5,0.5,1.3,35.3,4,5.3,75.4,2.1,3.2,5.3,6.2,2.8,0.2,3,53,57.4
86,CJ McCollum,59,35.3,20.1,7.7,17.6,43.6,2.3,5.9,39,2.5,3.2,77,0.8,3.5,4.3,2.9,0.8,0.5,1.9,50.1,52.9
87,Bob Dandridge,98,39.6,20.1,8.4,17.5,48,-,-,-,3.3,4.3,76.1,2,5.2,7.7,3.7,1.2,0.7,3.1,48,51.7
88,Khris Middleton,69,37.7,20,7.2,16.5,43.5,2.5,6.4,39.1,3.2,3.7,86.2,0.7,5.6,6.3,4.7,1.3,0.2,2.7,51.1,55.3
89,,1,0,20,9,22,40.9,-,-,-,2,2,100,-,-,-,4,-,-,-,40.9,43.7
89,T.J. Warren,4,39,20,8,17,47.1,1.8,4.8,36.8,2.3,2.3,100,1.3,5,6.3,3,2.3,0.3,2.8,52.2,55.6
91,Yao Ming,28,35.3,19.8,7,13.4,51.9,0,0,0,5.9,7.1,83.3,2.7,6.6,9.3,1,0.3,1.5,2.9,51.9,59.9
92,Tom Heinsohn,104,31,19.8,7.9,19.6,40.2,-,-,-,4.1,5.5,74.3,-,-,9.2,2.1,-,-,-,40.2,45
93,Richard Hamilton,130,38.8,19.8,7.3,16.5,43.9,0.5,1.6,34,4.7,5.5,86,1.2,2.7,3.9,3.6,0.9,0.2,2.7,45.6,52.2
94,Latrell Sprewell,62,41.1,19.7,7.2,17.2,41.8,1,3,33,4.3,5.4,80.3,0.8,3.5,4.3,3.4,1.2,0.4,2.8,44.7,50.4
95,Kemba Walker,31,36.5,19.6,6.7,16.3,41.2,2.2,6.8,32.4,4,4.6,86.8,0.3,3.5,3.8,4.8,1.1,0.5,2.2,47.9,53.6
96,Mitch Richmond,23,36.3,19.5,7.5,15.6,47.9,0.8,2.7,30.2,3.7,4.3,86.9,1,4.3,5.3,3,1,0.3,2.5,50.6,55.8
97,Gus Williams,99,32.5,19.5,7.9,16.6,47.6,0.1,0.4,23.1,3.6,4.9,73.7,1.4,1.7,3.1,4.7,1.8,0.4,2.6,47.8,52
98,Magic Johnson,190,39.7,19.5,6.8,13.4,50.6,0.3,1.1,24.1,5.6,6.7,83.8,1.8,5.9,7.7,12.3,1.9,0.3,3.7,51.6,59.5
99,Dolph Schayes,97,34,19.5,6,15.4,39,-,-,-,7.5,9,82.5,-,-,12.2,2.6,-,-,-,39,50.3
100,Dan Issel,53,30.2,19.4,7.6,15.3,49.6,0,0.1,50,4.2,5.1,82.9,2.1,5.3,7.4,2.7,0.8,0.5,2,49.8,55.4
101,Billy Cunningham,39,31.2,19.4,7.4,17.4,42.7,-,-,-,4.6,6.7,68.6,-,-,9.1,3.2,-,-,-,42.7,47.8
